equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15541,247,4/22/2024 9:40,0422-0247-00536,0.016
e15541,247,4/22/2024 9:40,0422-0247-00544,0.001
e15541,247,4/22/2024 9:41,0422-0247-00570,0.007
e15541,247,4/22/2024 9:41,0422-0247-00559,0.031
e15541,247,4/22/2024 9:41,0422-0247-00563,65.535
e15541,247,4/22/2024 9:41,0422-0247-00575,0.022
e15541,247,4/22/2024 9:42,0422-0247-00569,0.004
e15541,247,4/22/2024 9:42,0422-0247-00589,0.023
e15541,247,4/22/2024 9:42,0422-0247-00592,0.019
e15541,247,4/22/2024 9:42,0422-0247-00586,0.003
e15541,247,4/22/2024 9:43,0422-0247-00599,0.009
e15541,247,4/22/2024 9:43,0422-0247-00596,0.044
e15541,247,4/22/2024 9:43,0422-0247-00590,0.043
e15541,247,4/22/2024 9:44,0422-0247-00616,0.005
e15541,247,4/22/2024 9:44,0422-0247-00612,65.532
e15541,247,4/22/2024 9:44,0422-0247-00602,0.022
e15541,247,4/22/2024 9:44,0422-0247-00608,0.022
e15541,247,4/22/2024 9:44,0422-0247-00639,0.008
e15541,247,4/22/2024 9:45,0422-0247-00609,0.006
e15541,247,4/22/2024 9:45,0422-0247-00615,0.002
e15541,247,4/22/2024 9:45,0422-0247-00634,65.533
e15541,247,4/22/2024 9:45,0422-0247-00655,0.001
e15541,247,4/22/2024 9:45,0422-0247-00647,0.026
e15541,247,4/22/2024 9:45,0422-0247-00658,0.017
e15541,247,4/22/2024 9:46,0422-0247-00677,0.012
e15541,247,4/22/2024 9:46,0422-0247-00674,0.004
e15541,247,4/22/2024 9:46,0422-0247-00668,0.003
e15541,247,4/22/2024 9:46,0422-0247-00682,0.005
e15541,247,4/22/2024 9:47,0422-0247-00683,0.012
e15541,247,4/22/2024 9:47,0422-0247-00690,0.017
e15541,247,4/22/2024 9:47,0422-0247-00661,0.027
e15541,247,4/22/2024 9:47,0422-0247-00670,0.021
e15541,247,4/22/2024 9:48,0422-0247-00675,0.014
e15541,247,4/22/2024 9:48,0422-0247-00694,0.005
e15541,247,4/22/2024 9:48,0422-0247-00689,0.019
e15541,247,4/22/2024 9:49,0422-0247-00709,0.01
e15541,247,4/22/2024 9:49,0422-0247-00702,0.138
e15541,247,4/22/2024 9:49,0422-0247-00700,0.009
e15541,247,4/22/2024 9:49,0422-0247-00715,0.004
e15541,247,4/22/2024 9:49,0422-0247-00729,0.011
e15541,247,4/22/2024 9:49,0422-0247-00714,0.007
e15541,247,4/22/2024 9:50,0422-0247-00732,0.013
e15541,247,4/22/2024 9:50,0422-0247-00737,0.013
e15541,247,4/22/2024 9:50,0422-0247-00738,0.006
e15541,247,4/22/2024 9:50,0422-0247-00725,0.014
e15541,247,4/22/2024 9:50,0422-0247-00743,0.012
e15541,247,4/22/2024 9:51,0422-0247-00747,0.014
e15541,247,4/22/2024 9:51,0422-0247-00753,65.534
e15541,247,4/22/2024 9:51,0422-0247-00755,0.004
e15541,247,4/22/2024 9:51,0422-0247-00775,0.011
e15541,247,4/22/2024 9:52,0422-0247-00777,0.009
e15541,247,4/22/2024 9:52,0422-0247-00768,0.01
e15541,247,4/22/2024 9:52,0422-0247-00761,0.025
e15541,247,4/22/2024 9:52,0422-0247-00784,0.027
e15541,247,4/22/2024 9:52,0422-0247-00770,0.007
e15541,247,4/22/2024 9:53,0422-0247-00789,0.013
e15541,247,4/22/2024 9:53,0422-0247-00793,0.011
e15541,247,4/22/2024 9:53,0422-0247-00783,0.012
e15541,247,4/22/2024 9:53,0422-0247-00802,0.013
e15541,247,4/22/2024 9:54,0422-0247-00810,0.009
e15541,247,4/22/2024 9:54,0422-0247-00788,0.024
e15541,247,4/22/2024 9:54,0422-0247-00817,0.003
e15541,247,4/22/2024 9:54,0422-0247-00833,0.001
e15541,247,4/22/2024 9:54,0422-0247-00821,0.013
e15541,247,4/22/2024 9:54,0422-0247-00828,0.01
e15541,247,4/22/2024 9:55,0422-0247-00837,0.022
e15541,247,4/22/2024 9:55,0422-0247-00839,0.02
e15541,247,4/22/2024 9:55,0422-0247-00850,0
e15541,247,4/22/2024 9:55,0422-0247-00832,0
e15541,247,4/22/2024 9:56,0422-0247-00855,0.007
e15541,247,4/22/2024 9:56,0422-0247-00851,0.008
e15541,247,4/22/2024 9:56,0422-0247-00845,0.009
e15541,247,4/22/2024 9:56,0422-0247-00860,0.01
e15541,247,4/22/2024 9:57,0422-0247-00861,0.003
e15541,247,4/22/2024 9:57,0422-0247-00865,0.011
e15541,247,4/22/2024 9:57,0422-0247-00863,0.006
e15541,247,4/22/2024 9:57,0422-0247-00879,0
e15541,247,4/22/2024 9:58,0422-0247-00873,0.013
e15541,247,4/22/2024 9:58,0422-0247-00887,65.532
e15541,247,4/22/2024 9:58,0422-0247-00888,0.002
e15541,247,4/22/2024 9:58,0422-0247-00894,0.002
e15541,247,4/22/2024 9:58,0422-0247-00898,0.014
e15541,247,4/22/2024 9:58,0422-0247-00891,0.013
e15541,247,4/22/2024 9:59,0422-0247-00906,0.009
e15541,247,4/22/2024 9:59,0422-0247-00909,0.006
e15541,247,4/22/2024 9:59,0422-0247-00907,0.02
e15541,247,4/22/2024 9:59,0422-0247-00916,0.006
e15541,247,4/22/2024 9:59,0422-0247-00911,0.008
e15541,247,4/22/2024 10:00,0422-0247-00932,0.017
e15541,247,4/22/2024 10:00,0422-0247-00919,0.009
e15541,247,4/22/2024 10:00,0422-0247-00931,0.009
e15541,247,4/22/2024 10:00,0422-0247-00938,0.008
e15541,247,4/22/2024 10:01,0422-0247-00944,0.014
e15541,247,4/22/2024 10:01,0422-0247-00943,0.035
e15541,247,4/22/2024 10:01,0422-0247-00941,0.003
e15541,247,4/22/2024 10:01,0422-0247-00966,0.013
e15541,247,4/22/2024 10:01,0422-0247-00960,0.017
e15541,247,4/22/2024 10:02,0422-0247-00946,0.012
e15541,247,4/22/2024 10:02,0422-0247-00963,0.096
e15541,247,4/22/2024 10:02,0422-0247-00957,0.017
e15541,247,4/22/2024 10:02,0422-0247-00980,0.02
e15541,247,4/22/2024 10:03,0422-0247-00982,0.009
e15541,247,4/22/2024 10:03,0422-0247-00974,0.017
e15541,247,4/22/2024 10:03,0422-0247-01002,0.01
e15541,247,4/22/2024 10:03,0422-0247-00992,0.009
e15541,247,4/22/2024 10:03,0422-0247-01003,0.01
e15541,247,4/22/2024 10:04,0422-0247-01006,0.003
e15541,247,4/22/2024 10:04,0422-0247-00989,0.018
e15541,247,4/22/2024 10:04,0422-0247-01009,0.031
e15541,247,4/22/2024 10:05,0422-0247-01015,0.009
e15541,247,4/22/2024 10:05,0422-0247-01029,0.019
e15541,247,4/22/2024 10:05,0422-0247-01021,0.013
e15541,247,4/22/2024 10:05,0422-0247-01013,0.031
e15541,247,4/22/2024 10:05,0422-0247-01016,0.019
e15541,247,4/22/2024 10:06,0422-0247-01037,0.009
e15541,247,4/22/2024 10:06,0422-0247-01034,0.004
e15541,247,4/22/2024 10:06,0422-0247-01028,0.014
e15541,247,4/22/2024 10:06,0422-0247-01033,0.006
e15541,247,4/22/2024 10:06,0422-0247-01055,0.036
e15541,247,4/22/2024 10:07,0422-0247-01047,0.007
e15541,247,4/22/2024 10:07,0422-0247-01044,0.009
e15541,247,4/22/2024 10:07,0422-0247-01049,0.01
e15541,247,4/22/2024 10:07,0422-0247-01052,0.016
e15541,247,4/22/2024 10:08,0422-0247-01074,0.036
e15541,247,4/22/2024 10:08,0422-0247-01079,0.126
e15541,247,4/22/2024 10:08,0422-0247-01064,0.055
e15541,247,4/22/2024 10:08,0422-0247-01080,0.034
e15541,247,4/22/2024 10:08,0422-0247-01088,0.014
e15541,247,4/22/2024 10:08,0422-0247-01075,0.022
e15541,247,4/22/2024 10:09,0422-0247-01093,0.007
e15541,247,4/22/2024 10:09,0422-0247-01085,0.003
e15541,247,4/22/2024 10:09,0422-0247-01084,0.004
e15541,247,4/22/2024 10:09,0422-0247-01091,0.006
e15541,247,4/22/2024 10:09,0422-0247-01109,0.013
e15541,247,4/22/2024 10:10,0422-0247-01103,0.026
e15541,247,4/22/2024 10:10,0422-0247-01122,0.016
e15541,247,4/22/2024 10:10,0422-0247-01115,0.016
e15541,247,4/22/2024 10:10,0422-0247-01128,0.015
e15541,247,4/22/2024 10:11,0422-0247-01117,0.015
e15541,247,4/22/2024 10:11,0422-0247-01130,0.016
e15541,247,4/22/2024 10:11,0422-0247-01143,0.028
e15541,247,4/22/2024 10:11,0422-0247-01124,0.046
e15541,247,4/22/2024 10:11,0422-0247-01141,0.021
e15541,247,4/22/2024 10:11,0422-0247-01150,0.014
e15541,247,4/22/2024 10:12,0422-0247-01146,0.012
e15541,247,4/22/2024 10:12,0422-0247-01171,0.016
e15541,247,4/22/2024 10:12,0422-0247-01151,0.012
e15541,247,4/22/2024 10:12,0422-0247-01172,0.008
e15541,247,4/22/2024 10:12,0422-0247-01168,0.006
e15541,247,4/22/2024 10:13,0422-0247-01159,0.006
e15541,247,4/22/2024 10:13,0422-0247-01167,0.005
e15541,247,4/22/2024 10:13,0422-0247-01178,0.011
e15541,247,4/22/2024 10:13,0422-0247-01166,0.006
e15541,247,4/22/2024 10:13,0422-0247-01183,0.004
e15541,247,4/22/2024 10:13,0422-0247-01192,0.009
e15541,247,4/22/2024 10:14,0422-0247-01195,0.004
e15541,247,4/22/2024 10:14,0422-0247-01191,0.009
e15541,247,4/22/2024 10:14,0422-0247-01199,0.008
e15541,247,4/22/2024 10:15,0422-0247-01203,0.018
e15541,247,4/22/2024 10:15,0422-0247-01207,0.015
e15541,247,4/22/2024 10:15,0422-0247-01215,0
